reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.80640954,42.94736636,0,0,0,206.3063411,2020/10/14 01:48:44+00,,,,,,,,,,,,,,,,,,,,,
-78.8063477,42.9473235,0,0,1,209.1529539,2020/10/14 01:48:45+00,,,,,,,,,,,,,,,,,,,,,
-78.80634341,42.94731654,0,0,2,209.1969503,2020/10/14 01:48:46+00,,,,,,,,,,,,,,,,,,,,,
-78.80634341,42.94731654,0,0,3,209.1969503,2020/10/14 01:48:47+00,,,,,,,,,,,,,,,,,,,,,
-78.80634341,42.94731654,0,0,4,209.1969503,2020/10/14 01:48:49+00,,,,,,,,,,,,,,,,,,,,,
-78.80631273,42.94732081,0,0,5,209.2069105,2020/10/14 01:48:50+00,,,,,,,,,,,,,,,,,,,,,
-78.806317,42.94734411,0,0,6,209.1900444,2020/10/14 01:48:51+00,,,,,,,,,,,,,,,,,,,,,
-78.80630656,42.947362,0,0,7,209.2143134,2020/10/14 01:48:54+00,,,,,,,,,,,,,,,,,,,,,
-78.80625975,42.947268,0,0,8,209.1471614,2020/10/14 01:48:56+00,,,,,,,,,,,,,,,,,,,,,
-78.80625975,42.947268,0,0,9,209.1471614,2020/10/14 01:48:57+00,,,,,,,,,,,,,,,,,,,,,
-78.80625975,42.947268,0,0,10,209.1471614,2020/10/14 01:48:59+00,,,,,,,,,,,,,,,,,,,,,
-78.80628524,42.94721255,0,0,11,209.1829832,2020/10/14 01:49:01+00,,,,,,,,,,,,,,,,,,,,,
-78.80626127,42.94720738,0,0,12,209.184598,2020/10/14 01:49:02+00,,,,,,,,,,,,,,,,,,,,,
-78.80624875,42.94721344,0,0,13,209.1918791,2020/10/14 01:49:04+00,,,,,,,,,,,,,,,,,,,,,
-78.80623225,42.947232,0,0,14,209.1904709,2020/10/14 01:49:10+00,,,,,,,,,,,,,,,,,,,,,
-78.80623446,42.94723141,0,0,15,209.1996494,2020/10/14 01:49:13+00,,,,,,,,,,,,,,,,,,,,,
-78.80623691,42.94723613,0,0,16,209.1988865,2020/10/14 01:49:14+00,,,,,,,,,,,,,,,,,,,,,
-78.8062436,42.94725125,0,0,17,209.2002303,2020/10/14 01:49:17+00,,,,,,,,,,,,,,,,,,,,,
-78.80623133,42.94723461,0,0,18,209.090107,2020/10/14 01:49:20+00,,,,,,,,,,,,,,,,,,,,,
-78.80623082,42.94719611,0,0,19,209.3981209,2020/10/14 01:58:56+00,,,,,,,,,,,,,,,,,,,,,
-78.80620486,42.94719011,0,0,20,209.3558356,2020/10/14 01:59:00+00,,,,,,,,,,,,,,,,,,,,,
-78.80623148,42.94721699,0,0,21,209.2223698,2020/10/14 01:59:03+00,,,,,,,,,,,,,,,,,,,,,
-78.80626459,42.94723868,0,0,22,209.3408975,2020/10/14 01:59:12+00,,,,,,,,,,,,,,,,,,,,,
-78.80624583,42.94722479,0,0,23,209.3009558,2020/10/14 01:59:15+00,,,,,,,,,,,,,,,,,,,,,
-78.80622229,42.94721325,0,0,24,209.1653953,2020/10/14 01:59:42+00,,,,,,,,,,,,,,,,,,,,,
-78.80623722,42.94719573,0,0,25,209.2511988,2020/10/14 01:59:47+00,,,,,,,,,,,,,,,,,,,,,
-78.80620813,42.94719499,0,0,26,209.1626539,2020/10/14 01:59:55+00,,,,,,,,,,,,,,,,,,,,,
-78.80621749,42.94721289,0,0,27,209.5166585,2020/10/14 02:00:06+00,,,,,,,,,,,,,,,,,,,,,
-78.80621116,42.94719141,0,0,28,209.3824474,2020/10/14 02:00:10+00,,,,,,,,,,,,,,,,,,,,,
-78.8062021,42.94721274,0,0,29,209.2892741,2020/10/14 02:00:17+00,,,,,,,,,,,,,,,,,,,,,
-78.80623651,42.94724182,0,0,30,209.445052,2020/10/14 02:00:25+00,,,,,,,,,,,,,,,,,,,,,
-78.80622189,42.94722045,0,0,31,209.3642136,2020/10/14 02:00:32+00,,,,,,,,,,,,,,,,,,,,,
-78.80623069,42.94724239,0,0,32,209.5397796,2020/10/14 02:00:37+00,,,,,,,,,,,,,,,,,,,,,
-78.80621994,42.94722012,0,0,33,209.3998981,2020/10/14 02:00:40+00,,,,,,,,,,,,,,,,,,,,,
-78.80624231,42.94724607,0,0,34,209.6630448,2020/10/14 02:00:49+00,,,,,,,,,,,,,,,,,,,,,
-78.80624911,42.94721999,0,0,35,209.3736949,2020/10/14 02:00:54+00,,,,,,,,,,,,,,,,,,,,,
-78.80622828,42.94725367,0,0,36,209.5203139,2020/10/14 04:13:40+00,,,,,,,,,,,,,,,,,,,,,
-78.8062197,42.94723617,0,0,37,209.2567253,2020/10/14 04:14:08+00,,,,,,,,,,,,,,,,,,,,,
-78.80623567,42.94721883,0,0,38,209.646201,2020/10/14 04:14:12+00,,,,,,,,,,,,,,,,,,,,,
-78.80621449,42.94723033,0,0,39,209.4329517,2020/10/14 04:14:20+00,,,,,,,,,,,,,,,,,,,,,
-78.80622825,42.94721524,0,0,40,209.1715542,2020/10/14 04:14:29+00,,,,,,,,,,,,,,,,,,,,,
